name,address,lat,lon
,"3220 S BARNETT SHOALS ROAD ATHENS, GA 30605-0000",33.90213,-83.33806
,"1450 WHIT DAVIS RD ATHENS, GA 30605-0000",33.90429,-83.31722
,"2350 BARNETT SHOALS RD ATHENS, GA 30605-0000",33.91768,-83.34428
,"1300 CEDAR SHOALS DR ATHENS, GA 30605-0000",33.92305,-83.33193
,"4460 LEXINGTON ROAD ATHENS, GA 30605",33.92535,-83.30306
,"293 GRAN ELLEN DRIVE ATHENS, GA 30605-0000",33.92642,-83.38628
,"780 TIMOTHY ROAD ATHENS, GA 30606",33.92788,-83.41206
,"900 GAINES SCHOOL ROAD ATHENS, GA 30605-0000",33.92975,-83.33711
,"1900 TIMOTHY ROAD ATHENS, GA 30606-0000",33.93716,-83.44594
,"1198 S MILLEDGE AVE ATHENS, GA 30606-0000",33.93926,-83.38708
,"000 ENTER BAXTER ST. PARKING LOT ATHENS, GA 30605-0000",33.94118,-83.37795
,"3700 ATLANTA HWY ATHENS, GA 30606-0000",33.94377,-83.46752
,"2025 BAXTER STREET ATHENS, GA 30606-0000",33.94495,-83.40356
,"775 EAST BROAD STREET ATHENS, GA 30601-0000",33.95888,-83.37043
,"900 OGLETHORPE AVENUE ATHENS, GA 30606-0000",33.96219,-83.41536
,"1150 OGLETHORPE AVENUE ATHENS, GA 30606",33.96323,-83.4225
,"297 HOYT STREET ATHENS, GA 30601-0000",33.96415,-83.37581
,"757 NORTH CHASE STREET ATHENS, GA 30606-0000",33.96468,-83.39418
,"1700 CLEVELAND ROAD BOGART, GA 30622-0000",33.96706,-83.50515
,"000 MARIGOLD LANE WINTERVILLE, GA 30683-0000",33.96786,-83.28024
,"715 FOURTH STREET ATHENS, GA 30601-0000",33.97325,-83.35883
,"225 NEWTON BRIDGE ROAD ATHENS, GA 30607-0000",33.97918,-83.39584
,"555 QUAILWOOD DRIVE ATHENS, GA 30606-0000",33.98146,-83.43601
,"2300 DANIELSVILLE ROAD ATHENS, GA 30601-0000",34.00965,-83.34494
