name,address,lat,lon
,"1155 HEPHZIBAH-MCBEAN ROAD HEPHZIBAH, GA 30815-0000",33.26302,-81.97876
,"294 CHURCH ST BLYTHE, GA 30805-0000",33.29797,-82.20624
,"4977 WINDSOR SPRING ROAD HEPHZIBAH, GA 30815-0000",33.30572,-82.09558
,"4233 OLD WAYNESBORO ROAD HEPHZIBAH, GA 30815-0000",33.32278,-82.01676
,"4335 WINDSOR SPRING ROAD HEPHZIBAH, GA 30815-0000",33.35321,-82.09382
,"3855 OLD WAYNESBORO ROAD AUGUSTA, GA 30906-0000",33.35564,-82.00118
,"100 MAGNOLIA DRIVE BUILDING 22-GYM GRACEWOOD, GA 30802-0000",33.36624,-82.02113
,"2309 TOBACCO ROAD HEPHZIBAH, GA 30815-0000",33.37495,-82.03894
,"3612 MIKE PADGETT HWY AUGUSTA, GA 30906-0000",33.37527,-81.99828
,"3692 WINDSOR SPRING ROAD HEPHZIBAH, GA 30815-0000",33.37817,-82.0703
,"3647 NEW KARLEEN ROAD HEPHZIBAH, GA 30815-0000",33.38783,-82.11844
,"3358 PEACH ORCHARD RD AUGUSTA, GA 30906-0000",33.40028,-82.02449
,"1941 LUMPKIN ROAD AUGUSTA, GA 30906-0000",33.41829,-82.0149
,"2372 LUMPKIN ROAD AUGUSTA, GA 30906-0000",33.41977,-82.03779
,"3237 DEANS BRIDGE ROAD AUGUSTA, GA 30906",33.42259,-82.06681
,"2930 GLENN HILLS DRIVE AUGUSTA, GA 30906-0000",33.42877,-82.07201
,"3431 OLD MCDUFFIE ROAD AUGUSTA, GA 30906-0000",33.42968,-82.08936
,"2463 GOLDEN CAMP ROAD AUGUSTA, GA 30906-0000",33.43003,-82.05174
,"1930 OLIVE ROAD AUGUSTA, GA 30901-0000",33.44523,-82.00484
,"1850 KISSINGBOWER ROAD AUGUSTA, GA 30904-0000",33.45036,-82.02332
,"2028 ROOSEVELT DR AUGUSTA, GA 30904-0000",33.45047,-82.01189
,"2240 BAYVALE ROAD AUGUSTA, GA 30909-0000",33.45048,-82.05261
,"644 AIKEN STREET AUGUSTA, GA 30901-0000",33.45624,-81.93716
,"3434 SHARON ROAD AUGUSTA, GA 30909",33.45902,-82.07999
,"1260 WRIGHTSBORO ROAD AUGUSTA, GA 30901-0000",33.46175,-81.98312
,"622 4TH STREET AUGUSTA, GA 30901-0000",33.46527,-81.95902
,"3157 DAMASCUS ROAD AUGUSTA, GA 30909-0000",33.46553,-82.04851
,"1237 LANEY WALKER BLVD AUGUSTA, GA 30901-0000",33.46627,-81.98037
,"1305 TROUP STREET AUGUSTA, GA 30904-0000",33.46726,-82.01481
,"3850 WRIGHTSBORO ROAD AUGUSTA, GA 30909-0000",33.46898,-82.11238
,"1255 DRUID PARK AVE AUGUSTA, GA 30904-0000",33.46977,-81.99772
,"1447 JACKSON ROAD AUGUSTA, GA 30909-0000",33.47163,-82.06902
,"3131 WALTON WAY AUGUSTA, GA 30909-0000",33.48335,-82.05448
,"3500 WALTON WAY AUGUSTA, GA 30909-0000",33.4841,-82.0714
,"1833 BROAD STREET AUGUSTA, GA 30904-0000",33.48577,-81.99473
,"2200 BROAD STREET AUGUSTA, GA 30901-0000",33.48901,-82.0057
,"3185 WHEELER ROAD AUGUSTA, GA 30909-0000",33.48985,-82.04979
,"3321 WHEELER ROAD AUGUSTA, GA 30909-0000",33.49166,-82.05982
,"2367 WASHINGTON ROAD AUGUSTA, GA 30904-0000",33.49961,-82.01174
,"300 WARREN ROAD AUGUSTA, GA 30907-0000",33.50622,-82.0577
,"2725 WASHINGTON ROAD AUGUSTA, GA 30909-0000",33.50991,-82.02496
,"3126 PARRISH ROAD AUGUSTA, GA 30907-0000",33.51725,-82.05816
