,osm_id,code,fclass,name,point_x,point_y,lon,lat
0,367913072,2002,fire_station,Atlanta Fire Rescue Department - Fire Station 9,-84.5019973000,33.7578332000,-84.502,33.75783
1,367913210,2002,fire_station,Atlanta Fire Rescue - Station 38,-84.4834237000,33.7818784000,-84.48342,33.78188
2,367913211,2002,fire_station,Atlanta Fire Rescue Department - Fire Station 28,-84.4716892000,33.8087532000,-84.47169,33.80875
3,367913243,2002,fire_station,Atlanta Fire Rescue Department - Fire Station 25,-84.4645090000,33.7230089000,-84.46451,33.72301
4,367913323,2002,fire_station,Atlanta Fire Rescue Department -  Fire Station 5,-84.4810747000,33.7002193000,-84.48107,33.70022
5,367913555,2007,library,Adams Park Branch Atlanta-Fulton Public Library,-84.4629849000,33.7153857000,-84.46298,33.71539
6,367913584,2007,library,Collier Heights Branch Atlanta-Fulton Public Library,-84.5029868000,33.7581626000,-84.50299,33.75816
7,367913695,2007,library,Southwest Branch Atlanta Public Library,-84.5065329000,33.7244938000,-84.50653,33.72449
8,367914157,2001,police,Atlanta Precinct Number 1 Police Station,-84.4612000000,33.7772000000,-84.4612,33.7772
9,5426093084,2005,post_office,Cascade Heights Station Atlanta Post Office,-84.4643078000,33.7230552000,-84.46431,33.72306
10,358785180,2005,post_office,Lenox Square Post Office,-84.3618000000,33.8488000000,-84.3618,33.8488
11,358785199,2005,post_office,Pharr Road Post Office,-84.3686000000,33.8365000000,-84.3686,33.8365
12,358785769,2005,post_office,Buckhead Post Office,-84.3704345000,33.8498753000,-84.37043,33.84988
13,367913217,2002,fire_station,Atlanta Fire Rescue Department - Fire Station 21,-84.3784487000,33.8425775000,-84.37845,33.84258
14,367913232,2002,fire_station,Atlanta Station 26 Fire Station,-84.4211000000,33.8373000000,-84.4211,33.8373
15,367913558,2007,library,Paces Ferry Branch Atlanta-Fulton Public Library,-84.4271507000,33.8492709000,-84.42715,33.84927
16,367913989,2007,library,Buckhead Library,-84.3793876000,33.8376223000,-84.37939,33.83762
17,367914317,2001,police,Atlanta Precinct Number 2 Police Station,-84.3617428000,33.8232693000,-84.36174,33.82327
18,2930419353,2001,police,Atlanta Police Department Zone 2 Precinct,-84.3731601000,33.8401123000,-84.37316,33.84011
19,4664879365,2005,post_office,The UPS Store,-84.3843630000,33.8336702000,-84.38436,33.83367
20,6172410685,2005,post_office,FedEx,-84.3644264000,33.8256153000,-84.36443,33.82562
21,358782264,2005,post_office,Lakewood Station Atlanta Post Office,-84.3804818000,33.7084408000,-84.38048,33.70844
22,358784584,2005,post_office,Fort McPherson Post Office,-84.4402000000,33.7120000000,-84.4402,33.712
23,358785708,2005,post_office,Atlanta Central City Post Office,-84.3939000000,33.7439000000,-84.3939,33.7439
24,358785711,2005,post_office,Capitol Hill Post Office,-84.3882000000,33.7486000000,-84.3882,33.7486
25,367912849,2009,courthouse,Fulton County Juvenile Court,-84.3905901000,33.7501418000,-84.39059,33.75014
26,367913010,2009,courthouse,Fulton County Courthouse,-84.3907337000,33.7499951000,-84.39073,33.75
27,367913235,2002,fire_station,Atlanta Fire Rescue Department - Fire Station 14,-84.4235521000,33.7220759000,-84.42355,33.72208
28,367913236,2002,fire_station,Atlanta Station 17 Fire Station,-84.4368000000,33.7425000000,-84.4368,33.7425
29,367913237,2002,fire_station,Atlanta Fire Rescue Department - Fire Station 20,-84.4069111000,33.7180346000,-84.40691,33.71803
30,367913320,2002,fire_station,Atlanta Fire Rescue Department - Training Center,-84.4026255000,33.7057352000,-84.40263,33.70574
31,367913539,2007,library,Dunbar Branch Atlanta-Fulton Library,-84.3979827000,33.7414957000,-84.39798,33.7415
32,367913545,2007,library,Georgia Hill Branch Atlanta-Fulton Library,-84.3796486000,33.7370512000,-84.37965,33.73705
33,367913563,2007,library,Stewart Lakewood Branch Atlanta-Fulton Library,-84.4113161000,33.6973302000,-84.41132,33.69733
34,367914154,2001,police,Atlanta Police Station Headquarters,-84.3864000000,33.7501000000,-84.3864,33.7501
35,367914309,2001,police,Atlanta Precinct Number 4 Police Station,-84.4501647000,33.7251754000,-84.45016,33.72518
36,534031188,2099,public_building,City of Atlanta Public Safety Headquarters,-84.3945398000,33.7481302000,-84.39454,33.74813
37,1748936232,2002,fire_station,Station 10,-84.3684889000,33.7422402000,-84.36849,33.74224
38,3501750121,2002,fire_station,Atlanta Fire Rescue Department - Fire Station 2,-84.3813462000,33.7103314000,-84.38135,33.71033
39,358785277,2005,post_office,Morris Brown Post Office,-84.4106000000,33.7559000000,-84.4106,33.7559
