name,address,lat,lon
,"381 WEST CHURCH STREET HARLEM, GA 30814",33.41474,-82.31964
,"145 NORTH LOUISVILLE ST HARLEM, GA 30814-0000",33.41511,-82.31232
,"842 APPLING HARLEM ROAD HARLEM, GA 30814",33.43324,-82.31513
,"1040 NEWMANTOWN ROAD GROVETOWN, GA 30813-0000",33.43731,-82.2069
,"206 EAST ROBINSON AVE GROVETOWN, GA 30813-0000",33.44911,-82.19488
,"108 W. ROBINSON AVE GROVETOWN, GA 30813",33.45133,-82.20037
,"5555 HARLEM GROVETOWN ROAD GROVETOWN, GA 30813-0000",33.45387,-82.22526
,"780 OLD LOUISVILLE ROAD HARLEM, GA 30814-0000",33.46703,-82.26291
,"4406 WRIGHTSBORO ROAD GROVETOWN, GA 30813-0000",33.47516,-82.13519
,"5913 EUCHEE CREEK DRIVE HARLEM, GA 30813-0000",33.47598,-82.26611
,"599 S OLD BELAIR RD GROVETOWN, GA 30813-0000",33.48206,-82.14387
,"4400 WHEELER RD MARTINEZ, GA 30907-0000",33.48821,-82.13392
,"215 LEWISTON ROAD GROVETOWN, GA 30813",33.49931,-82.2018
,"261 FLOWING WELLS RD MARTINEZ, GA 30907-0000",33.50157,-82.10734
,"4541 DEWEY DRIVE MARTINEZ, GA 30907-0000",33.50278,-82.1466
,"4943 COLUMBIA RD GROVETOWN, GA 30813-0000",33.50638,-82.18406
,"4594 COLUMBIA RD MARTINEZ, GA 30907-0000",33.50665,-82.14715
,"4227 COLUMBIA RD MARTINEZ, GA 30907-0000",33.50852,-82.11944
,"5555 HEREFORD FARM RD EVANS, GA 30809-0000",33.50911,-82.20356
,"3917 WASHINGTON RD MARTINEZ, GA 30907-0000",33.51068,-82.09807
,"136 N BELAIR RD EVANS, GA 30809-0000",33.51198,-82.14339
,"3910 DESOTO DR. MARTINEZ, GA 30907-0000",33.51365,-82.09905
,"3632 LYNNWOOD DR MARTINEZ, GA 30907-0000",33.51839,-82.08204
,"5445 COLUMBIA ROAD GROVETOWN, GA 30813-0000",33.52001,-82.22959
,"313 BASTON RD MARTINEZ, GA 30907-0000",33.52494,-82.07629
,"437 N BELAIR RD EVANS, GA 30809-0000",33.52891,-82.13094
,"4781 HEREFORD FARM ROAD EVANS, GA 30809-0000",33.531,-82.1584
,"470 FURYS FERRY ROAD MARTINEZ, GA 30907-0000",33.53304,-82.07844
,"555 GIBBS ROAD EVANS, GA 30809-0000",33.53425,-82.15148
,"527 BLUERIDGE DR EVANS, GA 30809-0000",33.53594,-82.10147
,"550 BLUE RIDGE DRIVE EVANS, GA 30809-0000",33.5377,-82.10598
,"600 STEVENS CREEK ROAD AUGUSTA, GA 30907-0000",33.53815,-82.0505
,"4232 EVANS TO LOCKS RD EVANS, GA 30809-0000",33.54109,-82.11479
,"7022 EVANS TOWN CENTER EVANS, GA 30809-0000",33.54655,-82.13276
,"2543 WILLIAM FEW PARKWAY EVANS, GA 30809-0000",33.54776,-82.21529
,"3300 EVANS TO LOCKS ROAD MARTINEZ, GA 30907-0000",33.54915,-82.03901
,"2520 RAY OWENS RD APPLING, GA 30802-0000",33.55177,-82.31886
,"703 FURYS FERRY ROAD EVANS, GA 30809-0000",33.5518,-82.09045
,"825 NORTH BELAIR RD EVANS, GA 30809-0000",33.55771,-82.1252
,"4201 SOUTHERN PINES DRIVE EVANS, GA 30809-0000",33.56234,-82.10767
,"4798 HARDY MCMANUS RD EVANS, GA 30809-0000",33.57514,-82.15454
,"4945 HARDY MCMANUS RD EVANS, GA 30809-0000",33.57523,-82.17265
,"1244 FURYS FERRY ROAD EVANS, GA 30809-0000",33.58035,-82.11836
,"5114 RIVERWOOD PARKWAY EVANS, GA 30809-0000",33.58884,-82.19228
,"6808 COBBHAM ROAD APPLING, GA 30802-0000",33.60999,-82.32845
,"3425 ROSEMONT RD APPLING, GA 30802-0000",33.6232,-82.23952
,"6375 RIDGE ROAD APPLING, GA 30802-0000",33.66589,-82.31774
