name,address,lat,lon
,"36 E NICKAJACK RD RINGGOLD, GA 30736-0000",34.80389,-85.1479
,"4346 LONG HOLLOW RD ROCK SPRING, GA 30739-0000",34.87027,-85.22904
,"773 GORDY CIR TUNNEL HILL, GA 30755",34.88031,-85.05389
,"470 ROLLINS INDUSTRIAL COURT RINGGOLD, GA 30736-0000",34.89797,-85.12061
,"5238 EVITT ST RINGGOLD, GA 30736-0000",34.91607,-85.10651
,"4057 BOYNTON DR RINGGOLD, GA 30736",34.92265,-85.18742
,"2803 KEITH RD RINGGOLD, GA 30736-0000",34.93289,-85.03276
,"205 FORREST RD FT OGLETHORPE, GA 30742-0000",34.94905,-85.25563
,"3319 LAKEVIEW DR ROSSVILLE, GA 30741",34.96154,-85.22516
,"967 GRAYSVILLE RD RINGGOLD, GA 30736-0000",34.97059,-85.15681
,"452 HUDSON ST ROSSVILLE, GA 30741",34.97324,-85.25911
