,osm_id,code,fclass,name,point_x,point_y,lon,lat
0,358774585,2005,post_office,Albany Post Office,-84.1554633000,31.5773963000,-84.15546,31.5774
1,367912800,2009,courthouse,Dougherty County Courthouse,-84.1524907000,31.5791626000,-84.15249,31.57916
2,367913005,2002,fire_station,Fire Station Number 2,-84.1635191000,31.5973959000,-84.16352,31.5974
3,367913390,2007,library,Carnegie Library of Albany,-84.1537965000,31.5793408000,-84.1538,31.57934
4,367913391,2007,library,Lee Branch Library,-84.1679635000,31.5662853000,-84.16796,31.56629
5,367913406,2007,library,Northwest Branch Library,-84.2003872000,31.6078628000,-84.20039,31.60786
6,367914346,2099,public_building,Albany Municipal Auditorium,-84.1543521000,31.5787852000,-84.15435,31.57879
