name,address,lat,lon
,"4514 TYUS CARROLLTON RD CARROLLTON, GA 30117-0000",33.4683,-85.19607
,"835 N. HIGHWAY 27 ROOPVILLE, GA 30170-0000",33.47409,-85.10806
,"50 BOOSTER FIELD RD WHITESBURG, GA 30185-0000",33.5013,-84.92226
,"2829 OAK GROVE CHURCH RD CARROLLTON, GA 30117-0000",33.52692,-85.08478
,"101 BARR AVE BOWDON, GA 30108-0000",33.52863,-85.25143
,"2675 S HIGHWAY 16 CARROLLTON, GA 30116-0000",33.53338,-85.01254
,"245 COTTAGE HILL RD CARROLLTON, GA 30117-0000",33.55484,-85.08059
,"77 OLD CAMP CHURCH RD CARROLLTON, GA 30117-0000",33.55721,-85.13502
,"00 Z 6 FOOD SERVICE BLD CARROLLTON, GA 30118-0000",33.57276,-85.10571
,"1874 BURWELL RD CARROLLTON, GA 30117-0000",33.57813,-85.20574
,"167 WEST AVE CARROLLTON, GA 30117-0000",33.5789,-85.06961
,"425 WILLIE NORTH DR CARROLLTON, GA 30117-0000",33.58409,-85.08939
,"423 COLLEGE ST CARROLLTON, GA 30117-0000",33.58418,-85.07184
,"116 LUMPKIN DR CARROLLTON, GA 30117",33.59969,-85.06053
,"155 GA HIGHWAY 113 CARROLLTON, GA 30117-0000",33.60459,-85.07565
,"4585 E HIGHWAY 166 CARROLLTON, GA 30116-0000",33.61289,-84.93564
,"2965 N HIGHWAY 100 WACO, GA 30182-0000",33.62384,-85.26869
,"2868 CARROLLTON VR HWY CARROLLTON, GA 30116-0000",33.62423,-84.99406
,"4455 MOUNT ZION RD MT ZION, GA 30150-0000",33.63477,-85.18507
,"3915 CTON VILLA RICA HWY VILLA RICA, GA 30180-0000",33.64367,-84.96985
,"6230 LAKEVIEW PARKWAY VILLA RICA, GA 30180-0000",33.65916,-84.91545
,"4685 N HIGHWAY 27 CARROLLTON, GA 30117-0000",33.67323,-85.14896
,"2176 CENTER POINT RD TEMPLE, GA 30179-0000",33.68565,-85.06209
,"524 LESLIE DR VILLA RICA, GA 30180-0000",33.72763,-84.92889
,"280 ROME ST TEMPLE, GA 30179-0000",33.74352,-85.03188
,"646 INDUSTRIAL BLVD VILLA RICA, GA 30180-0000",33.7481,-84.93818
,"1605 CTON VILLA RICA HWY VILLA RICA, GA 30180-0000",33.83671,-84.86717
